account_id,client_id,iban,currency,opened_at,status
1,1,RU013145410802350757216,EUR,2025-02-26 08:49:39,active
2,1,RU023180371210344379426,RUB,2022-02-02 22:53:31,active
3,1,RU031732240215223631843,RUB,2025-02-20 07:24:04,active
4,2,RU042398914215459621731,USD,2022-08-02 16:26:24,active
5,3,RU057689789408643943067,RUB,2022-11-14 12:02:14,active
6,3,RU069091958567705238370,USD,2024-07-18 01:51:32,closed
7,4,RU078014318026001935457,EUR,2022-07-28 13:50:13,active
8,4,RU088495931687766220484,USD,2022-03-03 12:40:25,active
9,5,RU094161111685218836714,EUR,2025-03-11 22:33:58,active
10,5,RU109464087175038306766,RUB,2023-01-12 07:41:48,active
11,6,RU113051684268114005030,EUR,2023-01-21 18:42:48,active
12,6,RU122692908184833281369,EUR,2024-08-02 14:14:20,active
13,6,RU135534599785926071857,RUB,2023-11-19 04:24:33,active
14,7,RU142883597171986711138,RUB,2022-10-26 23:37:55,active
15,8,RU158334730609472496690,EUR,2022-05-23 13:02:17,active
16,9,RU165307999599984435923,USD,2023-01-03 02:16:48,active
17,10,RU172627330292430429454,RUB,2022-09-13 00:17:02,active
18,10,RU185134571946670055827,USD,2024-07-30 03:46:16,active
19,11,RU199771548439801228576,USD,2022-11-09 20:46:25,active
20,11,RU205070975682564369862,RUB,2023-07-13 14:11:10,active
21,11,RU218012755446661729518,EUR,2023-10-19 15:17:45,active
22,12,RU228027557405425817272,USD,2025-06-27 05:02:40,blocked
23,13,RU235954774081671917508,USD,2023-10-26 22:31:32,active
24,13,RU244509034087763271391,RUB,2022-08-26 08:44:55,active
25,14,RU256589597340532509559,USD,2023-04-21 02:48:47,active
26,14,RU265328145543474792741,RUB,2024-01-17 23:10:34,active
27,15,RU278947365806210882369,RUB,2022-08-29 08:32:44,blocked
28,16,RU289537993114685599456,USD,2025-02-08 14:06:59,active
29,16,RU294542120003753372814,EUR,2023-10-08 22:53:57,blocked
30,16,RU304770399966665402921,EUR,2024-01-31 11:47:18,active
31,17,RU312791438951577326784,EUR,2025-12-02 15:51:34,active
32,18,RU325700307503231824882,EUR,2023-02-01 12:43:24,active
33,18,RU337423667374263702645,EUR,2025-01-06 14:13:31,active
34,19,RU343276252727813373268,USD,2024-10-08 03:32:49,active
35,20,RU357516856105447333345,USD,2024-01-13 02:53:59,active
36,21,RU363410350241449229965,EUR,2022-02-13 21:27:46,active
37,21,RU373345393181832109698,EUR,2024-07-29 12:16:35,active
38,21,RU382488905130361067026,EUR,2023-01-20 08:17:32,active
39,22,RU399456751709361539519,EUR,2022-07-01 08:02:01,active
40,23,RU409392799516645840877,RUB,2023-09-10 18:05:50,active
41,23,RU414937194445042775983,RUB,2022-10-21 07:50:27,active
42,24,RU429177910973304310484,EUR,2024-12-10 17:32:43,active
43,24,RU437940239296051754239,EUR,2023-08-18 15:23:37,active
44,25,RU448163711092308749832,EUR,2025-09-12 14:15:03,active
45,25,RU457905816064569808143,RUB,2025-05-23 22:13:14,active
46,25,RU463841724127527715043,USD,2022-11-22 11:40:43,blocked
47,26,RU471644174051762013207,RUB,2022-09-19 14:21:29,active
48,27,RU487761121240675560129,EUR,2023-10-12 02:11:22,active
49,27,RU497493689247511865789,USD,2023-11-01 10:57:55,active
50,27,RU509748214451232787327,RUB,2022-07-28 16:15:44,active
51,28,RU512853352253868865949,RUB,2023-12-02 01:51:06,active
52,29,RU529039234451822830035,RUB,2025-03-10 22:53:06,active
53,30,RU539009225730962766751,EUR,2023-11-16 15:37:19,active
54,30,RU544483930844994790890,USD,2024-09-15 15:57:57,active
55,31,RU553165464449495657516,RUB,2023-03-06 22:26:34,active
56,32,RU561563146555590116854,RUB,2024-01-24 17:21:23,active
57,32,RU576372111016128843653,RUB,2023-02-18 08:12:33,active
58,33,RU586561553801743934038,RUB,2022-05-31 10:31:33,active
59,34,RU597981277665880029141,USD,2025-03-28 17:42:22,active
60,34,RU607289048431904933400,USD,2023-06-08 13:23:16,active
61,34,RU613209892511321482696,USD,2025-10-14 19:16:45,active
62,35,RU629995601430243402150,EUR,2024-10-30 03:54:56,active
63,35,RU635214336298712442895,RUB,2023-07-08 01:43:54,active
64,36,RU646551632296937979394,RUB,2023-09-17 04:30:04,active
65,36,RU657449577724757986196,USD,2022-07-10 21:50:25,active
66,36,RU666703287705659565885,USD,2025-03-13 07:42:14,active
67,37,RU677089532306241006103,EUR,2024-10-20 12:40:53,active
68,37,RU689687841897498136373,EUR,2022-10-19 22:43:20,active
69,37,RU699056011278947610460,EUR,2025-06-16 08:38:02,active
70,38,RU703154198345944271986,EUR,2025-06-08 11:56:14,active
71,39,RU711750498727537474781,EUR,2024-01-23 16:49:00,active
72,39,RU727072105569096014766,USD,2023-06-26 02:49:52,active
73,39,RU734549693553065697355,RUB,2025-08-24 11:00:14,active
74,40,RU745796655441669984169,RUB,2024-08-01 05:04:49,active
75,40,RU751292802864926940568,EUR,2025-09-23 04:22:17,active
76,41,RU767207902684756125871,USD,2024-02-13 11:59:29,active
77,42,RU772066947121120165024,USD,2025-09-20 22:22:39,active
78,42,RU782952042064183858234,RUB,2024-01-20 00:32:46,active
79,42,RU791824862911882935425,EUR,2022-09-22 18:12:11,active
80,43,RU809568544641941843415,RUB,2023-11-07 14:00:04,closed
81,44,RU817633218471518441552,USD,2025-11-03 05:10:33,active
82,44,RU827137936139744664461,EUR,2023-02-05 05:05:17,active
83,45,RU831834177947730510530,EUR,2025-12-04 10:05:54,active
84,46,RU849520989203275624392,EUR,2023-06-01 23:43:29,active
85,46,RU859394809998819180424,USD,2024-07-22 02:57:07,active
86,46,RU867031344179373922547,EUR,2025-01-19 12:12:13,active
87,47,RU873152434778101934612,USD,2025-05-04 13:58:26,active
88,47,RU882027322492151281678,USD,2022-12-14 06:34:45,active
89,47,RU892735436171958094219,EUR,2022-05-19 11:21:31,active
90,48,RU908870582889646026312,USD,2026-01-03 08:35:30,active
91,48,RU911015481367402292912,EUR,2023-05-02 19:21:56,blocked
92,48,RU928813289958920848167,EUR,2023-04-28 19:25:24,active
93,49,RU937265456642237277725,USD,2023-10-21 04:37:29,active
94,49,RU946548943280783952889,EUR,2025-12-21 19:15:13,active
95,50,RU958861652091034243303,RUB,2022-12-12 02:02:15,active
96,50,RU963019035245790352571,USD,2023-12-17 12:30:57,active
97,50,RU973613837461645271864,RUB,2024-02-16 11:06:44,active
98,51,RU986523695918421557856,EUR,2025-03-06 12:24:46,active
99,52,RU993522154532186314338,EUR,2023-04-25 20:18:25,active
100,52,RU1008643291337014264896,USD,2025-08-09 19:24:02,active
101,53,RU1014072716127838269229,USD,2024-02-08 23:53:21,active
