client_id,first_name,last_name,birth_date,country,created_at
1,Ivan,Ivanov,1984-09-03,KZ,2022-12-13 17:53:58
2,Petr,Petrov,1967-10-19,GE,2023-10-18 10:23:08
3,Andrei,Ivanov,1968-05-28,KZ,2022-12-28 10:13:36
4,Elena,Morozova,1962-05-19,GE,2022-11-05 21:12:17
5,Elena,Popov,1979-10-11,BY,2024-07-04 09:25:01
6,Olga,Ivanov,1974-04-28,BY,2023-06-13 13:27:31
7,Olga,Sidorov,1979-04-26,AM,2022-06-08 18:40:31
8,Ivan,Popov,1968-09-04,AM,2025-08-09 12:52:48
9,Maria,Morozova,1983-09-24,RU,2025-02-07 14:22:22
10,Sergey,Lebedev,1971-03-14,BY,2022-05-03 09:53:03
11,Elena,Volkova,1992-06-11,GE,2022-10-26 17:02:17
12,Ivan,Ivanov,1980-06-11,AM,2022-05-04 22:51:37
13,Anna,Petrov,1994-02-06,AM,2023-12-06 08:21:40
14,Maria,Sidorov,1993-03-18,AM,2022-11-22 10:59:17
15,Olga,Petrov,1975-05-09,GE,2025-02-06 15:49:02
16,Anna,Sidorov,2001-06-21,BY,2023-02-24 08:23:03
17,Elena,Smirnov,1989-02-03,RU,2022-12-22 19:31:51
18,Andrei,Kuznetsova,1995-12-28,AM,2022-04-13 19:41:24
19,Anna,Morozova,1988-03-25,KZ,2024-10-15 04:31:28
20,Sergey,Popov,2001-03-01,KZ,2023-02-16 11:26:54
21,Petr,Smirnov,1983-07-28,GE,2023-10-28 13:10:14
22,Nikita,Popov,1992-06-22,KZ,2022-08-03 21:22:52
23,Elena,Sokolov,1968-02-26,RU,2025-08-30 16:14:36
24,Ivan,Sidorov,1974-05-09,BY,2024-07-15 11:44:25
25,Ivan,Popov,1994-03-27,GE,2023-12-29 02:09:52
26,Elena,Volkova,1961-01-11,RU,2024-11-25 00:00:16
27,Elena,Volkova,1990-07-08,RU,2023-04-01 22:28:40
28,Dmitry,Sidorov,2000-09-14,RU,2025-01-26 17:32:35
